person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24.0,22000.0,RENT,0.0,PERSONAL,B,4000.0,11.36,1.0,0.18,N,3.0
24.0,22000.0,RENT,3.0,MEDICAL,C,4000.0,13.92,0.0,0.18,N,3.0
25.0,23400.0,RENT,3.0,MEDICAL,B,4000.0,12.42,0.0,0.17,N,3.0
25.0,23920.0,RENT,0.0,MEDICAL,C,4000.0,14.35,0.0,0.17,N,2.0
25.0,24000.0,RENT,3.299728057068957,PERSONAL,B,4000.0,11.71,0.0,0.17,N,3.0
21.0,24000.0,RENT,2.0,MEDICAL,D,4000.0,14.84,1.0,0.17,Y,2.0
23.0,24000.0,RENT,2.0,DEBTCONSOLIDATION,B,4000.0,10.574019174616907,0.0,0.17,N,4.0
25.0,38014.0,MORTGAGE,4.0,HOMEIMPROVEMENT,A,10000.0,8.49,0.0,0.26,N,3.0
24.0,24000.0,RENT,2.0,VENTURE,A,4000.0,8.59,0.0,0.17,N,3.0
24.0,24000.0,RENT,0.0,VENTURE,B,4000.0,12.21,0.0,0.17,N,2.0
26.0,38100.0,MORTGAGE,6.0,VENTURE,A,3900.0,7.9,0.0,0.1,N,3.0
23.0,24000.0,RENT,4.0,MEDICAL,C,4000.0,11.66,0.0,0.17,N,4.0
22.0,38117.0,MORTGAGE,0.0,PERSONAL,B,13500.0,11.83,0.0,0.35,N,4.0
25.0,24000.0,RENT,2.0,VENTURE,A,4000.0,7.75,0.0,0.17,N,3.0
23.0,38160.0,MORTGAGE,5.0,MEDICAL,B,12000.0,10.38,0.0,0.31,N,4.0
24.0,24996.0,RENT,0.0,PERSONAL,B,4000.0,9.45,0.0,0.16,N,3.0
22.0,25000.0,RENT,2.0,VENTURE,B,4000.0,12.69,0.0,0.16,N,3.0
23.0,25000.0,RENT,3.240571209282848,VENTURE,B,4000.0,11.71,0.0,0.16,N,4.0
22.0,25000.0,RENT,0.0,DEBTCONSOLIDATION,B,4000.0,10.36,0.0,0.16,N,2.0
21.0,25200.0,RENT,1.0,PERSONAL,A,4000.0,8.49,0.0,0.16,N,4.0
22.0,32213.0,MORTGAGE,3.0,MEDICAL,C,8000.0,13.47,1.0,0.25,Y,4.0
22.0,25200.0,RENT,1.0,MEDICAL,B,4000.0,10.56570641630462,0.0,0.16,N,2.0
25.0,25200.0,RENT,3.251527052184064,EDUCATION,B,4000.0,10.25,0.0,0.16,N,2.0
26.0,38244.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,18000.0,9.63,0.0,0.47,N,3.0
22.0,25440.0,RENT,6.0,EDUCATION,A,4000.0,5.42,0.0,0.16,N,4.0
24.0,38268.0,MORTGAGE,5.188816577481353,PERSONAL,B,6000.0,9.88,0.0,0.16,N,4.0
23.0,26000.0,RENT,1.0,EDUCATION,B,4000.0,10.577014219581729,0.0,0.15,N,4.0
23.0,26000.0,RENT,0.0,PERSONAL,A,4000.0,6.76,0.0,0.15,N,3.0
23.0,26000.0,RENT,1.0,PERSONAL,C,4000.0,12.87,1.0,0.15,Y,3.0
26.0,38376.0,MORTGAGE,3.0,EDUCATION,A,14500.0,7.88,0.0,0.38,N,3.0
26.0,26400.0,RENT,0.0,EDUCATION,A,4000.0,7.9,0.0,0.15,N,2.0
24.0,26400.0,RENT,3.0,DEBTCONSOLIDATION,B,4000.0,10.340409550281361,1.0,0.15,N,3.0
23.0,26400.0,RENT,8.0,EDUCATION,C,4000.0,14.17,1.0,0.15,N,2.0
24.0,26400.0,RENT,4.0,MEDICAL,C,4000.0,13.72,0.0,0.15,N,2.0
22.0,27000.0,RENT,0.0,PERSONAL,A,4000.0,5.79,0.0,0.15,N,2.0
24.0,27000.0,RENT,8.0,MEDICAL,B,4000.0,10.75,0.0,0.15,N,4.0
23.0,38400.0,MORTGAGE,6.0,EDUCATION,A,8000.0,6.62,0.0,0.21,N,4.0
22.0,27000.0,RENT,6.0,EDUCATION,A,4000.0,7.14,0.0,0.15,N,2.0
21.0,27000.0,RENT,5.0,MEDICAL,D,4000.0,15.58,1.0,0.15,Y,2.0
23.0,27040.0,RENT,2.0,VENTURE,C,4000.0,12.29,0.0,0.15,Y,4.0
22.0,27600.0,RENT,3.0,MEDICAL,A,4000.0,5.42,0.0,0.14,N,4.0
25.0,38400.0,OWN,9.0,EDUCATION,A,1000.0,6.62,0.0,0.03,N,2.0
25.0,27993.0,RENT,2.0,MEDICAL,C,4000.0,12.99,0.0,0.14,N,2.0
23.0,28000.0,RENT,0.0,EDUCATION,A,4000.0,8.9,0.0,0.14,N,4.0
21.0,28000.0,RENT,2.0,EDUCATION,C,4000.0,15.23,0.0,0.14,N,2.0
25.0,28000.0,RENT,6.0,VENTURE,A,4000.0,6.39,0.0,0.14,N,3.0
24.0,28000.0,RENT,8.0,MEDICAL,A,4000.0,7.923698626414027,0.0,0.14,N,2.0
23.0,38400.0,MORTGAGE,7.0,VENTURE,A,2000.0,7.685892803017707,0.0,0.05,N,2.0
25.0,28008.0,RENT,5.0,MEDICAL,B,4000.0,10.0,0.0,0.14,N,2.0
24.0,28704.0,RENT,3.0,DEBTCONSOLIDATION,B,4000.0,9.63,0.0,0.14,N,3.0
22.0,38400.0,OWN,5.0,EDUCATION,C,10000.0,13.99,0.0,0.26,N,2.0
23.0,28800.0,RENT,0.0,EDUCATION,A,4000.0,5.42,0.0,0.14,N,2.0
22.0,28800.0,RENT,2.0,DEBTCONSOLIDATION,C,4000.0,13.48,0.0,0.14,N,2.0
26.0,38400.0,OWN,2.0,EDUCATION,B,5550.0,9.99,0.0,0.14,N,2.0
24.0,29000.0,RENT,0.0,VENTURE,B,4000.0,9.45,0.0,0.14,N,3.0
24.0,38400.0,MORTGAGE,7.0,MEDICAL,C,15000.0,15.23,0.0,0.39,N,2.0
22.0,38400.0,MORTGAGE,4.779937351922401,EDUCATION,B,5000.0,11.49,0.0,0.13,N,2.0
26.0,38400.0,OWN,1.0,PERSONAL,B,15500.0,11.99,0.0,0.4,N,3.0
21.0,38400.0,MORTGAGE,0.0,EDUCATION,A,4200.0,7.745924300907438,0.0,0.11,N,2.0
23.0,29700.0,RENT,2.0,VENTURE,B,4000.0,10.74,0.0,0.13,N,4.0
22.0,30000.0,RENT,3.0,EDUCATION,A,4000.0,7.9,0.0,0.13,N,3.0
24.0,30000.0,RENT,2.0,VENTURE,A,4000.0,5.99,0.0,0.13,N,2.0
24.0,30000.0,RENT,1.0,VENTURE,A,4000.0,7.49,0.0,0.13,N,4.0
24.0,38400.0,MORTGAGE,8.0,HOMEIMPROVEMENT,B,10000.0,10.99,0.0,0.26,N,2.0
25.0,30000.0,RENT,6.0,EDUCATION,D,4000.0,16.49,0.0,0.13,Y,3.0
25.0,38400.0,OWN,4.0,VENTURE,C,12500.0,13.06,0.0,0.33,Y,2.0
25.0,30000.0,RENT,4.0,EDUCATION,C,4000.0,13.49,0.0,0.13,Y,4.0
22.0,30000.0,RENT,3.0,PERSONAL,B,4000.0,11.49,0.0,0.13,N,3.0
22.0,38400.0,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000.0,5.42,0.0,0.26,N,2.0
23.0,38400.0,OWN,5.0,EDUCATION,B,7675.0,10.0,0.0,0.2,N,4.0
22.0,30000.0,RENT,1.0,EDUCATION,C,4000.0,13.169006281368272,0.0,0.13,N,3.0
25.0,38400.0,MORTGAGE,2.0,DEBTCONSOLIDATION,A,10000.0,7.29,0.0,0.26,N,2.0
23.0,38400.0,MORTGAGE,7.0,VENTURE,B,5000.0,10.37,0.0,0.13,N,4.0
23.0,30000.0,RENT,0.0,DEBTCONSOLIDATION,B,4000.0,10.36,0.0,0.13,N,3.0
23.0,30000.0,RENT,0.0,MEDICAL,B,4000.0,10.36,0.0,0.13,N,4.0
23.0,38400.0,MORTGAGE,0.0,PERSONAL,B,5000.0,9.25,0.0,0.13,N,3.0
26.0,30000.0,RENT,4.0,VENTURE,B,4000.0,10.75,0.0,0.13,N,3.0
22.0,30000.0,RENT,0.0,VENTURE,D,4000.0,15.21,1.0,0.13,N,2.0
22.0,38400.0,MORTGAGE,5.171930199249882,PERSONAL,A,1000.0,5.79,0.0,0.03,N,2.0
25.0,38400.0,MORTGAGE,5.0,MEDICAL,A,5700.0,6.17,0.0,0.15,N,2.0
26.0,32400.0,MORTGAGE,10.0,MEDICAL,D,10000.0,15.330757263391927,1.0,0.31,Y,4.0
22.0,30000.0,RENT,1.0,PERSONAL,C,4000.0,13.178759355265768,0.0,0.13,N,4.0
26.0,38400.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,6000.0,7.51,0.0,0.16,N,3.0
26.0,30000.0,RENT,1.0,PERSONAL,B,4000.0,11.83,1.0,0.13,N,4.0
25.0,30000.0,RENT,6.0,EDUCATION,B,4000.0,9.76,0.0,0.13,N,3.0
24.0,30000.0,RENT,1.0,EDUCATION,C,4000.0,11.34,0.0,0.13,N,3.0
25.0,30900.0,RENT,1.0,VENTURE,D,4000.0,12.61,1.0,0.13,N,3.0
24.0,38400.0,MORTGAGE,7.0,EDUCATION,C,10000.0,14.72,0.0,0.26,N,2.0
26.0,31104.0,RENT,1.0,DEBTCONSOLIDATION,B,4000.0,9.99,0.0,0.13,N,3.0
24.0,31200.0,RENT,3.0,DEBTCONSOLIDATION,B,4000.0,12.42,0.0,0.13,N,4.0
25.0,38400.0,MORTGAGE,9.0,VENTURE,B,12000.0,10.38,0.0,0.31,N,3.0
22.0,38400.0,OWN,6.0,PERSONAL,C,10000.0,14.72,0.0,0.26,N,3.0
22.0,38400.0,MORTGAGE,6.0,PERSONAL,A,8500.0,7.14,0.0,0.22,N,3.0
23.0,31200.0,RENT,2.0,DEBTCONSOLIDATION,A,4000.0,8.59,0.0,0.13,N,3.0
24.0,31609.0,RENT,4.0,MEDICAL,C,4000.0,13.92,0.0,0.13,Y,4.0
26.0,38400.0,MORTGAGE,5.037214205987331,EDUCATION,C,10000.0,13.98,0.0,0.26,N,4.0
21.0,32400.0,MORTGAGE,3.0,PERSONAL,C,1750.0,13.61,1.0,0.05,Y,4.0
22.0,32000.0,RENT,0.0,VENTURE,A,4000.0,5.42,0.0,0.13,N,4.0
23.0,38400.0,MORTGAGE,5.0,EDUCATION,A,10000.0,7.14,0.0,0.26,N,3.0
25.0,32000.0,RENT,1.0,MEDICAL,B,4000.0,11.49,0.0,0.13,N,4.0
24.0,32000.0,RENT,2.0,HOMEIMPROVEMENT,E,4000.0,17.93,1.0,0.13,N,3.0
23.0,32000.0,RENT,0.0,PERSONAL,A,4000.0,7.68,0.0,0.13,N,4.0
26.0,32400.0,RENT,9.0,MEDICAL,C,4000.0,14.27,0.0,0.12,N,2.0
25.0,32400.0,RENT,6.0,MEDICAL,B,4000.0,10.08,0.0,0.12,N,2.0
24.0,32500.0,RENT,5.0,MEDICAL,D,4000.0,16.29,0.0,0.12,Y,3.0
23.0,32535.0,RENT,6.0,PERSONAL,B,4000.0,10.534070090627537,0.0,0.12,N,2.0
24.0,38400.0,OTHER,0.0,VENTURE,E,8000.0,16.0,0.0,0.21,Y,2.0
23.0,38400.0,OWN,7.0,PERSONAL,D,6000.0,13.24,0.0,0.16,Y,3.0
25.0,32640.0,RENT,4.0,DEBTCONSOLIDATION,C,4000.0,12.73,0.0,0.12,Y,4.0
21.0,38400.0,OWN,0.0,VENTURE,C,12200.0,13.162178577349962,0.0,0.32,N,2.0
23.0,32993.0,RENT,6.0,MEDICAL,B,4000.0,11.71,1.0,0.12,N,4.0
22.0,38423.0,MORTGAGE,6.0,EDUCATION,A,2000.0,8.49,0.0,0.05,N,3.0
24.0,38450.0,MORTGAGE,6.0,PERSONAL,A,5500.0,7.49,0.0,0.14,N,4.0
22.0,32484.0,MORTGAGE,6.0,HOMEIMPROVEMENT,A,6250.0,7.51,1.0,0.19,N,4.0
23.0,38492.0,MORTGAGE,7.0,MEDICAL,B,6500.0,10.33939472255775,0.0,0.17,N,4.0
25.0,38496.0,MORTGAGE,7.0,EDUCATION,A,8000.0,6.03,0.0,0.21,N,4.0
26.0,32496.0,MORTGAGE,8.0,DEBTCONSOLIDATION,D,4200.0,16.02,1.0,0.13,N,3.0
22.0,33000.0,RENT,5.0,DEBTCONSOLIDATION,A,4000.0,7.88,0.0,0.12,N,4.0
23.0,33000.0,RENT,3.0,DEBTCONSOLIDATION,B,4000.0,10.96,0.0,0.12,N,4.0
26.0,33227.0,RENT,2.0,EDUCATION,B,4000.0,9.88,0.0,0.12,N,3.0
21.0,38500.0,MORTGAGE,5.0,PERSONAL,A,6500.0,7.51,0.0,0.17,N,3.0
23.0,34000.0,RENT,4.0,MEDICAL,B,4000.0,12.69,0.0,0.12,N,2.0
24.0,38500.0,MORTGAGE,5.0,PERSONAL,C,2500.0,12.907257554029822,0.0,0.06,N,4.0
23.0,38500.0,MORTGAGE,2.0,DEBTCONSOLIDATION,A,3000.0,7.71633689940251,0.0,0.08,N,2.0
25.0,34200.0,RENT,1.0,EDUCATION,B,4000.0,10.546143900281331,0.0,0.12,N,2.0
23.0,34500.0,RENT,3.0,DEBTCONSOLIDATION,B,4000.0,11.49,0.0,0.12,N,4.0
22.0,38628.0,MORTGAGE,6.0,DEBTCONSOLIDATION,B,4800.0,9.99,0.0,0.12,N,4.0
22.0,34800.0,RENT,3.1379787986331213,DEBTCONSOLIDATION,B,4000.0,10.74,0.0,0.11,N,3.0
22.0,32644.0,MORTGAGE,6.0,VENTURE,E,13750.0,16.45,1.0,0.42,Y,4.0
20.0,32652.0,MORTGAGE,0.0,PERSONAL,D,6000.0,14.61,1.0,0.18,N,4.0
23.0,38667.0,MORTGAGE,2.0,MEDICAL,C,4800.0,11.91,0.0,0.12,N,4.0
25.0,35000.0,RENT,4.0,VENTURE,D,4000.0,16.29,0.0,0.11,Y,2.0
25.0,29000.0,RENT,1.0,HOMEIMPROVEMENT,D,4000.0,14.54,1.0,0.14,Y,3.0
21.0,29000.0,RENT,0.0,EDUCATION,D,4000.0,14.83,1.0,0.14,N,4.0
25.0,35000.0,RENT,4.0,EDUCATION,A,4000.0,7.51,0.0,0.11,N,3.0
25.0,38880.0,MORTGAGE,1.0,PERSONAL,A,9500.0,7.51,0.0,0.24,N,4.0
22.0,29000.0,RENT,5.0,EDUCATION,D,4000.0,15.33,1.0,0.14,Y,4.0
24.0,29000.0,RENT,1.0,MEDICAL,B,4000.0,9.96,1.0,0.14,N,3.0
26.0,38904.0,MORTGAGE,1.0,HOMEIMPROVEMENT,B,10000.0,12.21,0.0,0.26,N,2.0
25.0,35500.0,RENT,5.0,MEDICAL,B,4000.0,10.99,0.0,0.11,N,3.0
24.0,39000.0,MORTGAGE,8.0,VENTURE,A,1200.0,7.6695444903216154,0.0,0.03,N,2.0
26.0,30000.0,RENT,3.0,MEDICAL,C,4000.0,14.27,1.0,0.13,Y,2.0
22.0,36000.0,RENT,0.0,MEDICAL,A,4000.0,5.42,0.0,0.11,N,3.0
22.0,36000.0,RENT,6.0,VENTURE,B,4000.0,10.55617102092016,0.0,0.11,N,4.0
22.0,36000.0,RENT,3.0,EDUCATION,A,4000.0,5.42,0.0,0.11,N,2.0
25.0,36000.0,RENT,2.0,PERSONAL,C,4000.0,13.61,0.0,0.11,Y,3.0
22.0,30000.0,RENT,1.0,EDUCATION,D,4000.0,14.96,1.0,0.13,Y,2.0
24.0,36000.0,RENT,0.0,DEBTCONSOLIDATION,A,4000.0,7.4,0.0,0.11,N,4.0
22.0,36000.0,RENT,0.0,PERSONAL,A,4000.0,8.94,0.0,0.11,N,4.0
26.0,36000.0,RENT,0.0,PERSONAL,B,4000.0,10.14,0.0,0.11,N,2.0
23.0,36300.0,RENT,0.0,VENTURE,A,4000.0,7.68,0.0,0.11,N,2.0
22.0,37000.0,RENT,2.0,EDUCATION,B,4000.0,10.95,0.0,0.11,N,2.0
21.0,37000.0,RENT,0.0,PERSONAL,B,4000.0,10.08,0.0,0.11,N,3.0
21.0,37200.0,RENT,5.0,MEDICAL,C,4000.0,13.49,0.0,0.11,Y,4.0
23.0,38000.0,RENT,3.0,MEDICAL,C,4000.0,14.26,0.0,0.11,N,4.0
22.0,39000.0,MORTGAGE,4.0,PERSONAL,B,3250.0,10.99,0.0,0.08,N,2.0
25.0,39000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,C,3000.0,13.99,0.0,0.08,Y,3.0
22.0,38400.0,RENT,5.0,EDUCATION,B,4000.0,10.59,0.0,0.1,N,3.0
23.0,38400.0,RENT,7.0,PERSONAL,B,4000.0,10.59,0.0,0.1,N,2.0
22.0,38400.0,RENT,4.0,EDUCATION,C,4000.0,12.99,0.0,0.1,N,2.0
21.0,39000.0,MORTGAGE,5.0,EDUCATION,A,1000.0,7.49,0.0,0.03,N,3.0
24.0,38400.0,RENT,4.0,DEBTCONSOLIDATION,A,4000.0,7.29,0.0,0.1,N,3.0
22.0,32400.0,RENT,4.0,VENTURE,D,4000.0,15.534491734890505,1.0,0.12,Y,2.0
25.0,38400.0,RENT,2.0,EDUCATION,B,4000.0,12.53,0.0,0.1,N,4.0
23.0,38850.0,RENT,0.0,EDUCATION,C,4000.0,12.72,0.0,0.1,Y,2.0
25.0,39000.0,RENT,4.0,MEDICAL,A,4000.0,7.88,0.0,0.1,N,4.0
24.0,39000.0,RENT,3.0,MEDICAL,D,4000.0,14.61,0.0,0.1,Y,4.0
24.0,39000.0,MORTGAGE,3.0,HOMEIMPROVEMENT,A,5600.0,5.42,0.0,0.14,N,4.0
23.0,39000.0,MORTGAGE,3.0,EDUCATION,C,5000.0,12.98,0.0,0.13,N,4.0
26.0,39000.0,MORTGAGE,10.0,VENTURE,A,9500.0,6.91,0.0,0.24,N,3.0
25.0,39000.0,MORTGAGE,9.0,MEDICAL,A,4500.0,6.54,0.0,0.12,N,4.0
26.0,33000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,C,9000.0,13.72,1.0,0.27,N,2.0
25.0,39000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,6000.0,7.51,0.0,0.15,N,2.0
22.0,40000.0,RENT,1.0,EDUCATION,B,4000.0,12.69,0.0,0.1,N,3.0
23.0,40000.0,RENT,3.0,EDUCATION,C,4000.0,13.8,0.0,0.1,Y,3.0
24.0,40000.0,RENT,3.0,DEBTCONSOLIDATION,A,4000.0,5.42,0.0,0.1,N,2.0
25.0,34000.0,RENT,3.3090394238378904,HOMEIMPROVEMENT,A,4000.0,7.72479277513142,1.0,0.12,N,2.0
23.0,39000.0,MORTGAGE,8.0,EDUCATION,A,10000.0,7.51,0.0,0.26,N,2.0
22.0,39000.0,MORTGAGE,6.0,PERSONAL,A,10750.0,7.778495055149198,0.0,0.28,N,3.0
21.0,33000.0,MORTGAGE,2.0,HOMEIMPROVEMENT,A,3250.0,7.14,1.0,0.1,N,3.0
22.0,40000.0,RENT,2.0,EDUCATION,A,4000.0,7.956752641206391,0.0,0.1,N,2.0
21.0,40000.0,RENT,3.0,EDUCATION,A,4000.0,7.51,0.0,0.1,N,2.0
22.0,40000.0,RENT,2.0,PERSONAL,B,4000.0,11.49,0.0,0.1,N,4.0
22.0,40000.0,RENT,0.0,PERSONAL,A,4000.0,7.43,0.0,0.1,N,4.0
26.0,40200.0,RENT,1.0,EDUCATION,A,4000.0,6.76,0.0,0.1,N,4.0
23.0,35000.0,RENT,2.0,HOMEIMPROVEMENT,B,4000.0,12.18,1.0,0.11,N,4.0
23.0,39000.0,MORTGAGE,0.0,VENTURE,C,3000.0,12.53,0.0,0.08,Y,4.0
23.0,41004.0,RENT,1.0,MEDICAL,A,4000.0,7.68,0.0,0.1,N,4.0
24.0,41160.0,RENT,2.0,MEDICAL,A,4000.0,7.9650585922895285,0.0,0.1,N,4.0
24.0,35200.0,RENT,1.0,MEDICAL,D,4000.0,16.0,1.0,0.11,Y,3.0
21.0,42000.0,RENT,4.0,EDUCATION,B,4000.0,12.42,0.0,0.1,N,3.0
23.0,42000.0,RENT,0.0,VENTURE,B,4000.0,10.59,0.0,0.1,N,2.0
26.0,33000.0,MORTGAGE,1.0,DEBTCONSOLIDATION,C,12000.0,10.91,1.0,0.36,Y,3.0
21.0,36000.0,RENT,5.0,HOMEIMPROVEMENT,C,4000.0,12.99,1.0,0.11,N,4.0
23.0,36000.0,RENT,7.0,MEDICAL,B,4000.0,10.99,1.0,0.11,N,4.0
23.0,39120.0,OWN,4.0,MEDICAL,B,7000.0,11.71,0.0,0.18,N,3.0
22.0,39124.0,OWN,6.0,VENTURE,A,5000.0,7.74,0.0,0.13,N,4.0
25.0,33168.0,MORTGAGE,9.0,PERSONAL,C,6000.0,15.96,1.0,0.18,N,4.0
26.0,33192.0,MORTGAGE,5.089644718125617,PERSONAL,B,3000.0,12.69,1.0,0.09,N,4.0
26.0,36000.0,RENT,2.0,PERSONAL,D,4000.0,14.54,1.0,0.11,N,2.0
22.0,42000.0,RENT,4.0,VENTURE,D,4000.0,14.09,0.0,0.1,N,4.0
22.0,42000.0,RENT,3.0,MEDICAL,B,4000.0,8.88,0.0,0.1,N,4.0
23.0,39216.0,MORTGAGE,5.0,VENTURE,C,10000.0,13.49,0.0,0.25,N,3.0
23.0,42000.0,RENT,2.0,VENTURE,A,4000.0,5.79,0.0,0.1,N,4.0
22.0,39300.0,MORTGAGE,6.0,MEDICAL,B,7000.0,9.62,0.0,0.18,N,4.0
22.0,39300.0,MORTGAGE,5.0,EDUCATION,D,5325.0,14.59,0.0,0.14,Y,3.0
22.0,42000.0,RENT,0.0,VENTURE,C,4000.0,13.22,0.0,0.1,N,3.0
25.0,42500.0,RENT,0.0,MEDICAL,C,4000.0,12.99,0.0,0.09,N,3.0
22.0,42996.0,RENT,3.0,EDUCATION,C,4000.0,13.164641804927783,0.0,0.09,N,4.0
22.0,39396.0,MORTGAGE,1.0,EDUCATION,A,5000.0,6.62,0.0,0.13,N,4.0
24.0,43000.0,RENT,8.0,VENTURE,B,4000.0,12.69,0.0,0.09,N,2.0
24.0,39456.0,OWN,8.0,PERSONAL,A,1325.0,6.62,0.0,0.03,N,2.0
23.0,39456.0,OWN,7.0,EDUCATION,A,14000.0,7.29,0.0,0.35,N,3.0
25.0,43000.0,RENT,9.0,MEDICAL,C,4000.0,12.99,0.0,0.09,N,4.0
26.0,39600.0,RENT,3.0,EDUCATION,A,4000.0,5.79,1.0,0.1,N,4.0
25.0,45600.0,RENT,2.0,MEDICAL,A,4000.0,6.54,0.0,0.09,N,3.0
23.0,39500.0,MORTGAGE,3.0,DEBTCONSOLIDATION,C,10000.0,14.22,0.0,0.25,Y,2.0
22.0,41000.0,RENT,7.0,PERSONAL,A,4000.0,7.51,1.0,0.1,N,3.0
23.0,47000.0,RENT,3.0,DEBTCONSOLIDATION,A,4000.0,7.96353257906322,0.0,0.09,N,4.0
25.0,41000.0,RENT,1.0,PERSONAL,D,4000.0,14.84,1.0,0.1,Y,4.0
22.0,47004.0,RENT,2.0,PERSONAL,A,4000.0,7.965362809553877,0.0,0.09,N,3.0
23.0,47004.0,RENT,3.0,EDUCATION,C,4000.0,12.53,0.0,0.09,Y,4.0
24.0,47088.0,RENT,8.0,DEBTCONSOLIDATION,A,4000.0,6.62,0.0,0.08,N,4.0
22.0,48000.0,RENT,6.0,EDUCATION,B,4000.0,9.91,0.0,0.08,N,3.0
22.0,48000.0,RENT,3.0,EDUCATION,A,4000.0,7.967889740593762,0.0,0.08,N,4.0
21.0,39600.0,OWN,5.0,PERSONAL,A,3500.0,6.62,0.0,0.09,N,3.0
26.0,48000.0,RENT,3.0,VENTURE,A,4000.0,5.79,0.0,0.08,N,2.0
25.0,48000.0,RENT,0.0,VENTURE,A,4000.0,7.29,0.0,0.08,N,4.0
25.0,39600.0,MORTGAGE,5.0,HOMEIMPROVEMENT,B,4800.0,12.42,0.0,0.12,N,4.0
24.0,42000.0,RENT,8.0,HOMEIMPROVEMENT,B,4000.0,11.86,1.0,0.1,N,2.0
24.0,42000.0,RENT,2.0,HOMEIMPROVEMENT,C,4000.0,12.73,1.0,0.1,Y,3.0
25.0,39600.0,MORTGAGE,9.0,PERSONAL,B,5000.0,8.88,0.0,0.13,N,3.0
23.0,39600.0,MORTGAGE,7.0,MEDICAL,A,6000.0,7.88,0.0,0.15,N,3.0
23.0,39600.0,MORTGAGE,8.0,EDUCATION,A,8250.0,9.32,0.0,0.21,N,2.0
26.0,33660.0,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4500.0,5.99,1.0,0.13,N,2.0
24.0,44000.0,RENT,1.0,DEBTCONSOLIDATION,D,4000.0,17.58,1.0,0.09,N,2.0
24.0,50000.0,RENT,1.0,HOMEIMPROVEMENT,A,4000.0,5.42,0.0,0.08,N,2.0
26.0,39672.0,MORTGAGE,10.0,PERSONAL,D,11500.0,15.7,0.0,0.29,N,4.0
23.0,39689.0,OWN,1.0,VENTURE,C,13000.0,13.57,0.0,0.33,Y,2.0
23.0,39700.0,MORTGAGE,8.0,EDUCATION,A,8400.0,7.51,0.0,0.21,N,4.0
24.0,50000.0,RENT,6.0,PERSONAL,A,4000.0,7.66,0.0,0.08,N,4.0
24.0,50000.0,RENT,0.0,PERSONAL,A,4000.0,7.972428706118443,0.0,0.08,N,4.0
25.0,50000.0,RENT,2.0,DEBTCONSOLIDATION,B,4000.0,10.37,0.0,0.08,N,2.0
23.0,50000.0,RENT,1.0,MEDICAL,A,4000.0,5.42,0.0,0.08,N,2.0
23.0,39800.0,MORTGAGE,5.0,MEDICAL,B,9750.0,10.99,0.0,0.24,N,3.0
24.0,39828.0,OWN,4.107093605922872,MEDICAL,B,3000.0,8.88,0.0,0.08,N,4.0
21.0,39828.0,OWN,3.842076724201264,PERSONAL,B,15000.0,10.99,0.0,0.38,N,3.0
25.0,50000.0,RENT,6.0,MEDICAL,A,4000.0,6.92,0.0,0.08,N,4.0
23.0,50000.0,RENT,3.0,EDUCATION,C,4000.0,12.61,0.0,0.08,Y,2.0
24.0,50000.0,RENT,1.0,VENTURE,A,4000.0,7.88,0.0,0.08,N,3.0
22.0,39875.0,MORTGAGE,5.0,VENTURE,B,10000.0,10.373875320392957,0.0,0.25,N,3.0
23.0,50000.0,RENT,4.0,VENTURE,D,4000.0,14.96,0.0,0.08,N,3.0
22.0,50000.0,RENT,7.0,MEDICAL,A,4000.0,7.4,0.0,0.08,N,2.0
25.0,50000.0,RENT,3.0,EDUCATION,D,4000.0,14.61,0.0,0.08,N,2.0
22.0,50004.0,RENT,2.0,DEBTCONSOLIDATION,A,4000.0,6.92,0.0,0.08,N,2.0
24.0,50004.0,RENT,5.0,EDUCATION,A,4000.0,7.88,0.0,0.08,N,2.0
22.0,44582.0,RENT,6.0,HOMEIMPROVEMENT,A,4000.0,5.99,1.0,0.09,N,4.0
26.0,39990.0,MORTGAGE,3.0,HOMEIMPROVEMENT,C,2400.0,14.27,0.0,0.06,Y,2.0
21.0,50808.0,RENT,2.0,EDUCATION,A,4000.0,6.17,0.0,0.08,N,4.0
22.0,39996.0,MORTGAGE,7.0,MEDICAL,B,6000.0,12.42,0.0,0.15,N,4.0
24.0,39996.0,MORTGAGE,1.0,PERSONAL,B,3000.0,9.91,0.0,0.08,N,4.0
23.0,50952.0,RENT,0.0,EDUCATION,C,4000.0,11.54,0.0,0.08,Y,4.0
24.0,45000.0,RENT,0.0,DEBTCONSOLIDATION,D,4000.0,15.99,1.0,0.09,N,4.0
23.0,51600.0,RENT,6.0,PERSONAL,B,4000.0,9.91,0.0,0.08,N,3.0
24.0,39996.0,MORTGAGE,4.0,EDUCATION,C,5000.0,14.82,0.0,0.13,Y,3.0
23.0,45630.0,RENT,0.0,DEBTCONSOLIDATION,E,4000.0,19.29,1.0,0.09,Y,3.0
